Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uf,C_0603_1608Metric,147.116800,-90.373200,180.000000,top
C2,0.1uf,C_0603_1608Metric,152.908000,-102.781400,-90.000000,top
C3,100uf,CP_Elec_8x10,170.027600,-97.475300,90.000000,top
C4,0.1uf,C_0603_1608Metric,151.892000,-92.710000,-90.000000,top
C5,.01uf,C_0603_1608Metric,155.194000,-91.186000,180.000000,top
C6,0.47uf,C_0603_1608Metric,161.801100,-103.225600,0.000000,top
C7,0.1uf,C_0603_1608Metric,153.162000,-118.059200,-90.000000,top
C8,0.1uf,C_0603_1608Metric,147.955000,-106.680000,180.000000,top
C9,100uf,CP_Elec_8x10,170.027600,-111.252000,90.000000,top
C10,.01uf,C_0603_1608Metric,155.431700,-106.425400,180.000000,top
C11,0.1uf,C_0603_1608Metric,152.342700,-108.153200,90.000000,top
C12,0.47uf,C_0603_1608Metric,162.004300,-118.770400,0.000000,top
J1,CONTROL,PinHeader_1x07_P2.54mm_Horizontal,164.139800,-121.405800,-90.000000,top
J4,M1,PinHeader_1x03_P2.54mm_Vertical,140.970000,-95.315800,0.000000,top
J5,M2,PinHeader_1x03_P2.54mm_Vertical,140.970000,-110.555800,0.000000,top
J6,status,PinHeader_1x06_P2.54mm_Horizontal,180.543200,-121.405800,-90.000000,top
R1,10k,R_0603_1608Metric,163.728400,-100.634800,90.000000,top
R2,10k,R_0603_1608Metric,163.931600,-115.874800,90.000000,top
U1,DRV8313PWPR,IC_TPS61196PWPRQ1,157.711700,-97.231200,-90.000000,top
U2,DRV8313PWPR,IC_TPS61196PWPRQ1,158.016500,-112.572800,-90.000000,top
